Model,Scaler,PCA,MSE_Val,MAE_Val,R2_Val,MSE_CV,MAE_CV,R2_CV
LR,Standard,True,98.2318351539259,7.392438758148582,0.12050186127982243,,,
LR,Standard,False,85.58234834475938,6.668881118801984,0.23375638907108864,,,
LR,MinMax,True,87.21013510994777,6.73281651718109,0.21918234158461758,,,
LR,MinMax,False,85.58234834475938,6.668881118801991,0.23375638907108864,,,
RF,Standard,True,92.01214625373923,7.210540541101935,0.17618854169825393,90.85271300574892,7.169012839722981,0.17553096742065438
RF,Standard,False,79.40827703444918,6.436896507055287,0.2890346419636943,78.4878556946283,6.400234070255443,0.28774069750333975
RF,MinMax,True,81.65413718735886,6.573940451406099,0.26892680399838764,80.79298888304402,6.526083350469959,0.2668224632088366
RF,MinMax,False,79.42058209449787,6.438306572816495,0.28892447118868336,78.52371315641918,6.401475427778328,0.2874174746901928
KNR,Standard,True,95.77045226529194,7.149356597600872,0.14253933686845544,94.88380767324279,7.103034797263805,0.1388833328796148
KNR,Standard,False,89.67204282740155,6.853474769505305,0.19714016705119275,88.92059514226231,6.822715177951821,0.19298139456120558
KNR,MinMax,True,85.17326063249726,6.556490532368397,0.23741907012498586,84.32230474868643,6.529097650441163,0.23475225724794607
KNR,MinMax,False,84.66267790225041,6.556375532864084,0.24199046554085202,83.89033330028748,6.532507980569051,0.2386649377271592
SVR,Standard,True,89.76062511715364,6.356003295928954,0.19634706409390346,88.47693285428485,6.314976936016734,0.19714760071223011
SVR,Standard,False,78.95616094014734,5.841599492634313,0.2930825686139583,77.90689735248935,5.800933341091231,0.29307553783482143
SVR,MinMax,True,78.74912613182043,5.808798686392694,0.29493621135908754,77.6737074521388,5.765969088166743,0.29518672879002494
SVR,MinMax,False,87.8756541494357,6.264030260698204,0.21322375641113178,86.66237617661876,6.2207294324537274,0.21361395079336915
